Image No,X- Coordinate,Y - Coordinate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_053,2786.00,1851.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_054,1505.00,1551.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_055,1895.00,1850.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_056,1506.00,1562.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_057,1698.00,1415.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_058,1583.00,1466.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_059,2052.00,1296.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_060,2503.00,1332.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_061,2126.00,1829.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_062,2125.00,1286.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_063,1520.00,1559.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_064,1504.00,1635.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_065,1519.00,1470.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_066,1539.00,1771.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_067,1745.00,1831.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_068,2104.00,1775.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_069,2244.00,1849.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_070,1535.00,1636.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_071,2600.00,1698.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_072,1711.00,1804.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_073,1975.00,1569.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_074,2311.00,1707.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_075,2785.00,1851.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_076,1965.00,1572.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_077,1572.00,1532.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_078,2204.00,1663.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_079,2384.00,1646.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_080,2417.00,1625.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_081,1880.00,1301.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_082,1951.00,1743.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_083,1512.00,1450.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_084,2337.00,1500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_085,1820.00,1625.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_086,1873.00,1444.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_087,1835.00,1360.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_088,1536.00,1573.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_089,2369.00,1589.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_090,2456.00,1617.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_091,1871.00,1063.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_092,2028.00,1653.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_093,1850.00,1600.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_094,2048.00,1654.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_095,1705.00,1845.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_096,2049.00,1633.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_097,1522.00,1480.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_098,2748.00,1823.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_099,2520.00,1465.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_100,2191.00,1543.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_101,1591.00,1851.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_102,1510.00,1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRiD_103,1521.00,1727.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
